timestamp,male,female,aufmacher
1587261934.4860227,28,13,1
1587265519.0333135,28,13,1
1587269132.9055073,28,13,1
1587272709.367947,28,13,1
1587276326.4639676,29,12,0
1587279912.6491826,29,13,0
1587283529.4682252,35,12,0
1587287105.94984,31,13,0
1587290723.9092746,32,10,0
1587294304.3271747,35,11,0
1587297976.8052964,37,11,0
1587301526.7567794,38,11,0
1587305119.4767096,39,8,0
1587308697.5291157,39,10,0
1587312314.0291214,39,11,1
1587315920.964393,37,12,1
1587319543.3796582,38,13,1
1587323090.375915,37,14,1
1587326769.3612654,38,14,0
1587330316.5950544,35,12,0
1587333903.8448832,35,12,0
1587337508.0392723,35,12,0
1587341497.0291913,35,12,0
1587344734.8638704,34,12,0
1587348323.8571613,34,12,0
1587351929.568108,34,12,0
1587355518.2113793,36,16,0
1587359106.3521268,36,16,0
1587362741.89268,32,16,0
1587366330.5612302,29,18,0
1587369988.2724996,30,18,1
1587373543.140469,30,20,1
1587377121.4933186,30,21,1
1587380707.7820344,34,18,1
1587384384.6042674,34,19,1
1587387916.444161,37,19,0
1587391502.693653,37,20,0
1587395126.4417498,40,20,1
1587398730.320802,35,23,1
1587402326.365931,35,20,1
1587405933.4314766,35,21,1
1587409510.9158597,41,19,1
1587413162.57867,42,19,1
1587416709.7845354,42,18,1
1587420319.122633,44,18,0
1587423911.8053422,44,18,0
1587427885.5082617,44,18,0
1587431136.0073297,44,18,0
1587434729.1508055,44,18,0
1587438333.5085025,44,18,0
1587441916.761874,46,20,0
1587445506.1651304,36,20,0
1587449139.4767585,34,22,0
1587452724.0959854,31,21,0
1587456349.6495337,34,20,1
1587459946.160947,33,22,1
1587463516.1919677,32,20,0
1587467113.8687472,31,21,0
1587470781.178021,30,21,1
1587474305.4216301,31,20,1
1587477912.2188516,33,20,1
1587481544.6526005,30,23,1
1587486382.977413,25,27,1
1587488710.4429066,25,28,1
1587492328.464699,29,28,1
1587495906.1651971,31,26,1
1587499563.2723007,35,25,0
1587503119.3904526,36,23,0
1587506714.5185313,37,22,1
1587510302.2639027,37,22,1
1587514314.6663713,37,22,1
1587517530.379633,37,22,1
1587521116.9286497,37,22,1
1587524726.3458018,37,22,1
1587528323.679694,33,19,0
1587531927.2694051,34,18,0
1587535548.149731,31,21,1
1587539130.106684,30,20,1
1587542743.328398,30,19,1
1587546311.5649335,32,19,0
1587549930.183401,34,16,0
1587553510.251116,36,14,0
1587557185.9283643,42,8,0
1587560714.7863424,43,9,0
1587564328.3776598,42,10,0
1587567940.6602209,43,11,0
1587571530.0864255,43,13,0
1587575125.688416,40,13,0
1587578741.0575898,41,12,0
1587582306.252438,41,13,0
1587585978.873363,41,14,0
1587589528.0946932,41,15,1
1587593118.4125159,39,15,1
1587596710.0000038,39,15,1
1587600683.1214767,39,15,1
1587603941.5428307,39,15,1
1587607521.14131,39,15,1
1587611132.6254244,39,15,1
1587614720.4219196,38,15,1
1587618331.6264298,36,14,0
1587621945.4490871,34,14,1
1587625541.5066757,34,18,1
1587629152.5436103,33,20,0
1587632721.5103648,34,17,0
1587636323.7633545,35,17,0
1587639912.3255162,37,16,0
1587643589.3949997,32,15,1
1587647165.9034288,30,18,1
1587654333.243416,34,15,0
1587657944.6373382,35,14,0
1587661523.279348,35,15,0
1587665163.537838,34,18,0
1587668714.391449,37,16,0
1587672389.6297464,36,17,0
1587675925.025034,36,15,0
1587679526.386795,32,15,0
1587683112.673316,32,15,0
1587687116.423278,32,15,0
1587690349.163661,32,15,0
1587693942.6117291,32,15,0
